date,fund,company,ticker,cusip,shares,market value ($),weight (%)
03/31/2025,ARKX,KRATOS DEFENSE & SECURITY,KTOS,50077B207,"844,772","$25,917,604.96",9.94%
03/31/2025,ARKX,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,"898,171","$24,735,629.34",9.49%
03/31/2025,ARKX,ROCKET LAB USA INC,RKLB,773122106,"943,821","$17,573,947.02",6.74%
03/31/2025,ARKX,TRIMBLE INC,TRMB,896239100,"249,365","$16,338,394.80",6.27%
03/31/2025,ARKX,ARCHER AVIATION INC-A,ACHR,03945R102,"2,156,220","$15,654,157.20",6.00%
03/31/2025,ARKX,TERADYNE INC,TER,880770102,"172,961","$14,317,711.58",5.49%
03/31/2025,ARKX,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"165,456","$14,204,397.60",5.45%
03/31/2025,ARKX,AEROVIRONMENT INC,AVAV,008073108,"91,741","$11,094,239.13",4.25%
03/31/2025,ARKX,AMAZON.COM INC,AMZN,023135106,"55,601","$10,715,424.72",4.11%
03/31/2025,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,502431109,"51,226","$10,642,201.50",4.08%
03/31/2025,ARKX,KOMATSU LTD,6301,6496584,"349,188","$10,418,162.89",3.99%
03/31/2025,ARKX,THALES SA,HO,4162791,"31,340","$8,366,833.39",3.21%
03/31/2025,ARKX,DEERE & CO,DE,244199105,"16,872","$7,823,377.68",3.00%
03/31/2025,ARKX,BLADE AIR MOBILITY INC,BLDE,092667104,"2,381,223","$6,667,424.40",2.56%
03/31/2025,ARKX,JOBY AVIATION INC,JOBY,G65163100,"1,068,533","$6,528,736.63",2.50%
03/31/2025,ARKX,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,"153,171","$5,999,487.69",2.30%
03/31/2025,ARKX,GARMIN LTD,GRMN UN,B3Z5T14,"26,717","$5,708,354.22",2.19%
03/31/2025,ARKX,ELBIT SYSTEMS LTD,ESLT,M3760D101,"13,469","$5,224,086.34",2.00%
03/31/2025,ARKX,ALPHABET INC-CL C,GOOG,02079K107,"31,341","$4,891,076.46",1.88%
03/31/2025,ARKX,ADVANCED MICRO DEVICES,AMD,007903107,"45,089","$4,654,086.58",1.78%
03/31/2025,ARKX,HEICO CORP,HEI,422806109,"15,093","$4,015,643.58",1.54%
03/31/2025,ARKX,JD LOGISTICS INC,2618,BNMBPD9,"2,396,925","$3,962,317.85",1.52%
03/31/2025,ARKX,THE 3D PRINTING ETF,PRNT,00214Q500,"202,954","$3,967,750.70",1.52%
03/31/2025,ARKX,TELEDYNE TECHNOLOGIES INC,TDY,879360105,"7,444","$3,688,650.88",1.41%
03/31/2025,ARKX,HONEYWELL INTERNATIONAL INC,HON,438516106,"16,144","$3,395,728.96",1.30%
03/31/2025,ARKX,AIRBUS SE,AIR,4012250,"18,386","$3,309,360.57",1.27%
03/31/2025,ARKX,LOCKHEED MARTIN CORP,LMT,539830109,"5,721","$2,525,764.29",0.97%
03/31/2025,ARKX,SYNOPSYS INC,SNPS,871607107,"5,700","$2,496,315.00",0.96%
03/31/2025,ARKX,UIPATH INC - CLASS A,PATH,90364P105,"199,803","$2,135,894.07",0.82%
03/31/2025,ARKX,INTUITIVE MACHINES INC,LUNR,46125A100,"232,326","$1,874,870.82",0.72%
03/31/2025,ARKX,3D SYSTEMS CORP,DDD,88554D205,"597,403","$1,266,494.36",0.49%
03/31/2025,ARKX,ANSYS INC,ANSS,03662Q105,"1,281","$405,936.09",0.16%
03/31/2025,ARKX,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"257,383","$257,383.16",0.10%
"Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ARK ETF before investing. This and other information are contained in the ARK ETFs' prospectuses, which may be obtained on ark-funds.com. The prospectus should be read carefully before investing. An investment in an ARK ETF is subject to risks and you can lose money on your investment in an ARK ETF. There can be no assurance that the ARK ETFs will achieve their investment objectives. The ARK ETFs’ portfolios are more volatile than broad market averages. The ARK ETFs also have specific risks, which are described in the ARK ETFs' prospectuses.Shares of the ARK ETFs may be bought or sold throughout the day at their market price on the exchange on which they are listed. The market price of an ARK ETF's shares may be at, above or below the ARK ETF’s net asset value (""NAV"") and will fluctuate with changes in the NAV as well as supply and demand in the market for the shares. The market price of ARK ETF shares may differ significantly from their NAV during periods of market volatility. Shares of the ARK ETFs may only be redeemed directly with the ARK ETFs at NAV by Authorized Participants, in very large creation units. There can be no guarantee that an active trading market for ARK ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ARK ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Not FDIC Insured – No Bank Guarantee – May Lose ValueAll statements made regarding companies, securities or other financial information are strictly beliefs and points of view held by ARK Investment Management LLC and/or ARK ETF Trust and are not endorsements by ARK of any company or security or recommendations by ARK to buy, sell or hold any security. Holdings are subject to change without notice.Foreside Fund Services, LLC, distributor.© 2024. ARK ETF Trust. No part of this material may be reproduced in any form, or referred to in any other publication, without written permission."
