date,fund,company,ticker,cusip,shares,market value ($),weight (%)
03/28/2025,ARKK,TESLA INC,TSLA,88160R101,"2,270,964","$620,268,397.32",11.59%
03/28/2025,ARKK,ROKU INC,ROKU,77543R102,"6,122,977","$465,652,400.85",8.70%
03/28/2025,ARKK,ROBLOX CORP -CLASS A,RBLX,771049103,"6,381,455","$379,696,572.50",7.10%
03/28/2025,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"2,008,276","$378,720,688.08",7.08%
03/28/2025,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"3,748,866","$337,735,337.94",6.31%
03/28/2025,ARKK,TEMPUS AI INC,TEM,88023B103,"5,193,618","$269,912,327.46",5.04%
03/28/2025,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,"7,087,970","$269,626,378.80",5.04%
03/28/2025,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,"2,542,016","$260,607,480.32",4.87%
03/28/2025,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,"5,605,402","$246,581,633.98",4.61%
03/28/2025,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,"3,525,693","$146,598,314.94",2.74%
03/28/2025,ARKK,PAGERDUTY INC,PD,69553P100,"6,999,626","$133,132,886.52",2.49%
03/28/2025,ARKK,ARCHER AVIATION INC-A,ACHR,03945R102,"16,886,154","$132,725,170.44",2.48%
03/28/2025,ARKK,META PLATFORMS INC-CLASS A,META,30303M102,"219,725","$132,401,890.50",2.47%
03/28/2025,ARKK,BLOCK INC,XYZ,852234103,"2,270,975","$129,422,865.25",2.42%
03/28/2025,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,"5,608,290","$124,447,955.10",2.33%
03/28/2025,ARKK,AMAZON.COM INC,AMZN,023135106,"580,174","$116,823,836.64",2.18%
03/28/2025,ARKK,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,"19,218,914","$114,736,916.58",2.14%
03/28/2025,ARKK,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"2,956,112","$109,494,388.48",2.05%
03/28/2025,ARKK,TERADYNE INC,TER,880770102,"1,151,975","$98,701,218.00",1.84%
03/28/2025,ARKK,ADVANCED MICRO DEVICES,AMD,007903107,"812,212","$86,622,409.80",1.62%
03/28/2025,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,"8,638,949","$81,292,510.09",1.52%
03/28/2025,ARKK,VERACYTE INC,VCYT,92337F107,"2,470,436","$76,830,559.60",1.44%
03/28/2025,ARKK,PINTEREST INC- CLASS A,PINS,72352L106,"2,337,204","$75,351,456.96",1.41%
03/28/2025,ARKK,GITLAB INC-CL A,GTLB,37637K108,"1,500,036","$75,271,806.48",1.41%
03/28/2025,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,"8,340,716","$70,062,014.40",1.31%
03/28/2025,ARKK,NATERA INC,NTRA,632307104,"468,871","$69,533,569.30",1.30%
03/28/2025,ARKK,TRADE DESK INC/THE -CLASS A,TTD,88339J105,"1,115,105","$63,850,912.30",1.19%
03/28/2025,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,"2,050,538","$60,449,860.24",1.13%
03/28/2025,ARKK,DEERE & CO,DE,244199105,"123,686","$59,334,647.92",1.11%
03/28/2025,ARKK,UIPATH INC - CLASS A,PATH,90364P105,"5,132,248","$55,787,535.76",1.04%
03/28/2025,ARKK,ILLUMINA INC,ILMN,452327109,"665,523","$54,759,232.44",1.02%
03/28/2025,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,"21,673,116","$26,874,663.84",0.50%
03/28/2025,ARKK,CERUS CORP,CERS,157085101,"11,481,867","$16,533,888.48",0.31%
03/28/2025,ARKK,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"7,037,439","$7,037,439.48",0.13%
03/28/2025,ARKK,PRIME MEDICINE INC,PRME,74168J101,"1,036,207","$2,072,414.00",0.04%
03/28/2025,ARKK,SOFI TECHNOLOGIES INC,SOFI,83406F102,"114,801","$1,400,572.20",0.03%
"Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ARK ETF before investing. This and other information are contained in the ARK ETFs' prospectuses, which may be obtained on ark-funds.com. The prospectus should be read carefully before investing. An investment in an ARK ETF is subject to risks and you can lose money on your investment in an ARK ETF. There can be no assurance that the ARK ETFs will achieve their investment objectives. The ARK ETFs’ portfolios are more volatile than broad market averages. The ARK ETFs also have specific risks, which are described in the ARK ETFs' prospectuses.Shares of the ARK ETFs may be bought or sold throughout the day at their market price on the exchange on which they are listed. The market price of an ARK ETF's shares may be at, above or below the ARK ETF’s net asset value (""NAV"") and will fluctuate with changes in the NAV as well as supply and demand in the market for the shares. The market price of ARK ETF shares may differ significantly from their NAV during periods of market volatility. Shares of the ARK ETFs may only be redeemed directly with the ARK ETFs at NAV by Authorized Participants, in very large creation units. There can be no guarantee that an active trading market for ARK ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ARK ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Not FDIC Insured – No Bank Guarantee – May Lose ValueAll statements made regarding companies, securities or other financial information are strictly beliefs and points of view held by ARK Investment Management LLC and/or ARK ETF Trust and are not endorsements by ARK of any company or security or recommendations by ARK to buy, sell or hold any security. Holdings are subject to change without notice.Foreside Fund Services, LLC, distributor.© 2024. ARK ETF Trust. No part of this material may be reproduced in any form, or referred to in any other publication, without written permission."
