date,fund,company,ticker,cusip,shares,market value ($),weight (%)
04/25/2025,ARKW,ARK BITCOIN ETF HOLDCO (ARKW),,MM0051EWE,"1,747,643","$163,264,809.06",11.15%
04/25/2025,ARKW,TESLA INC,TSLA,88160R101,"439,822","$114,138,207.22",7.80%
04/25/2025,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"536,433","$109,362,595.71",7.47%
04/25/2025,ARKW,ROBINHOOD MARKETS INC - A,HOOD,770700102,"1,967,003","$94,711,194.45",6.47%
04/25/2025,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"868,552","$93,612,534.56",6.39%
04/25/2025,ARKW,ROBLOX CORP -CLASS A,RBLX,771049103,"1,389,069","$91,247,942.61",6.23%
04/25/2025,ARKW,ROKU INC,ROKU,77543R102,"1,326,661","$85,768,633.65",5.86%
04/25/2025,ARKW,META PLATFORMS INC-CLASS A,META,30303M102,"114,699","$61,151,771.85",4.18%
04/25/2025,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,"603,252","$57,381,330.24",3.92%
04/25/2025,ARKW,BLOCK INC,XYZ,852234103,"792,465","$45,566,737.50",3.11%
04/25/2025,ARKW,GENIUS SPORTS LTD,GENI,G3934V109,"3,829,560","$40,440,153.60",2.76%
04/25/2025,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,"90,047","$37,283,960.35",2.55%
04/25/2025,ARKW,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"801,521","$27,395,987.78",1.87%
04/25/2025,ARKW,AMAZON.COM INC,AMZN,023135106,"141,004","$26,302,886.16",1.80%
04/25/2025,ARKW,RUBRIK INC-A,RBRK,781154109,"372,000","$25,374,120.00",1.73%
04/25/2025,ARKW,MERCADOLIBRE INC,MELI,58733R102,"10,893","$24,016,995.33",1.64%
04/25/2025,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,"39,047","$23,660,529.65",1.62%
04/25/2025,ARKW,COREWEAVE INC-CL A,CRWV,21873S108,"569,053","$23,769,343.81",1.62%
04/25/2025,ARKW,GITLAB INC-CL A,GTLB,37637K108,"516,652","$23,595,496.84",1.61%
04/25/2025,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,"197,861","$23,519,737.07",1.61%
04/25/2025,ARKW,ADVANCED MICRO DEVICES,AMD,007903107,"239,853","$22,658,912.91",1.55%
04/25/2025,ARKW,TOAST INC-CLASS A,TOST,888787108,"556,645","$20,011,387.75",1.37%
04/25/2025,ARKW,PAGERDUTY INC,PD,69553P100,"1,267,057","$19,867,453.76",1.36%
04/25/2025,ARKW,SALESFORCE INC,CRM,79466L302,"69,140","$18,301,358.00",1.25%
04/25/2025,ARKW,PINTEREST INC- CLASS A,PINS,72352L106,"693,785","$17,864,963.75",1.22%
04/25/2025,ARKW,UNITY SOFTWARE INC,U,91332U101,"786,123","$17,538,404.13",1.20%
04/25/2025,ARKW,QUALCOMM INC,QCOM,747525103,"115,906","$17,062,522.26",1.17%
04/25/2025,ARKW,IBOTTA INC-CL A,IBTA,451051106,"349,110","$16,921,361.70",1.16%
04/25/2025,ARKW,TRADE DESK INC/THE -CLASS A,TTD,88339J105,"291,030","$15,503,168.10",1.06%
04/25/2025,ARKW,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,"89,454","$14,686,557.72",1.00%
04/25/2025,ARKW,REDDIT INC-CL A,RDDT,75734B100,"123,206","$13,829,873.50",0.94%
04/25/2025,ARKW,NVIDIA CORP,NVDA,67066G104,"127,858","$13,607,926.94",0.93%
04/25/2025,ARKW,DATADOG INC - CLASS A,DDOG,23804L103,"123,785","$12,328,986.00",0.84%
