date,fund,company,ticker,cusip,shares,market value ($),weight (%)
03/21/2025,ARKX,KRATOS DEFENSE & SECURITY,KTOS,50077B207,"844,772","$26,779,272.40",9.91%
03/21/2025,ARKX,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,"887,722","$24,456,741.10",9.05%
03/21/2025,ARKX,ARCHER AVIATION INC-A,ACHR,03945R102,"2,156,220","$17,853,501.60",6.61%
03/21/2025,ARKX,TRIMBLE INC,TRMB,896239100,"249,365","$17,625,118.20",6.52%
03/21/2025,ARKX,ROCKET LAB USA INC,RKLB,773122106,"943,821","$17,489,003.13",6.47%
03/21/2025,ARKX,TERADYNE INC,TER,880770102,"172,961","$15,251,700.98",5.64%
03/21/2025,ARKX,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"165,456","$14,459,199.84",5.35%
03/21/2025,ARKX,AEROVIRONMENT INC,AVAV,008073108,"91,222","$11,411,872.20",4.22%
03/21/2025,ARKX,KOMATSU LTD,6301,6496584,"349,188","$10,828,735.64",4.01%
03/21/2025,ARKX,AMAZON.COM INC,AMZN,023135106,"55,601","$10,839,414.95",4.01%
03/21/2025,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,502431109,"51,226","$10,751,825.14",3.98%
03/21/2025,ARKX,THALES SA,HO,4162791,"31,340","$8,269,030.56",3.06%
03/21/2025,ARKX,DEERE & CO,DE,244199105,"16,872","$8,048,281.44",2.98%
03/21/2025,ARKX,BLADE AIR MOBILITY INC,BLDE,092667104,"2,381,223","$7,167,481.23",2.65%
03/21/2025,ARKX,JOBY AVIATION INC,JOBY,G65163100,"1,068,533","$6,763,813.89",2.50%
03/21/2025,ARKX,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,"153,171","$6,506,808.35",2.41%
03/21/2025,ARKX,GARMIN LTD,GRMN UN,B3Z5T14,"26,717","$5,576,105.07",2.06%
03/21/2025,ARKX,ELBIT SYSTEMS LTD,ESLT,M3760D101,"13,469","$5,562,697.00",2.06%
03/21/2025,ARKX,ALPHABET INC-CL C,GOOG,02079K107,"31,341","$5,172,832.05",1.91%
03/21/2025,ARKX,ADVANCED MICRO DEVICES,AMD,007903107,"45,089","$4,830,835.46",1.79%
03/21/2025,ARKX,THE 3D PRINTING ETF,PRNT,00214Q500,"202,954","$4,209,083.30",1.56%
03/21/2025,ARKX,JD LOGISTICS INC,2618,BNMBPD9,"2,396,925","$4,113,754.49",1.52%
03/21/2025,ARKX,HEICO CORP,HEI,422806109,"15,093","$3,946,366.71",1.46%
03/21/2025,ARKX,TELEDYNE TECHNOLOGIES INC,TDY,879360105,"7,444","$3,716,714.76",1.38%
03/21/2025,ARKX,HONEYWELL INTERNATIONAL INC,HON,438516106,"16,144","$3,404,608.16",1.26%
03/21/2025,ARKX,AIRBUS SE,AIR,4012250,"18,386","$3,339,716.25",1.24%
03/21/2025,ARKX,LOCKHEED MARTIN CORP,LMT,539830109,"5,721","$2,670,219.54",0.99%
03/21/2025,ARKX,SYNOPSYS INC,SNPS,871607107,"5,700","$2,564,943.00",0.95%
03/21/2025,ARKX,UIPATH INC - CLASS A,PATH,90364P105,"199,803","$2,161,868.46",0.80%
03/21/2025,ARKX,3D SYSTEMS CORP,DDD,88554D205,"597,403","$1,529,351.68",0.57%
03/21/2025,ARKX,ANSYS INC,ANSS,03662Q105,"4,255","$1,381,300.65",0.51%
03/21/2025,ARKX,INTUITIVE MACHINES INC,LUNR,46125A100,"156,921","$1,115,708.31",0.41%
03/21/2025,ARKX,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"399,375","$399,375.02",0.15%
"Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ARK ETF before investing. This and other information are contained in the ARK ETFs' prospectuses, which may be obtained on ark-funds.com. The prospectus should be read carefully before investing. An investment in an ARK ETF is subject to risks and you can lose money on your investment in an ARK ETF. There can be no assurance that the ARK ETFs will achieve their investment objectives. The ARK ETFs’ portfolios are more volatile than broad market averages. The ARK ETFs also have specific risks, which are described in the ARK ETFs' prospectuses.Shares of the ARK ETFs may be bought or sold throughout the day at their market price on the exchange on which they are listed. The market price of an ARK ETF's shares may be at, above or below the ARK ETF’s net asset value (""NAV"") and will fluctuate with changes in the NAV as well as supply and demand in the market for the shares. The market price of ARK ETF shares may differ significantly from their NAV during periods of market volatility. Shares of the ARK ETFs may only be redeemed directly with the ARK ETFs at NAV by Authorized Participants, in very large creation units. There can be no guarantee that an active trading market for ARK ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ARK ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Not FDIC Insured – No Bank Guarantee – May Lose ValueAll statements made regarding companies, securities or other financial information are strictly beliefs and points of view held by ARK Investment Management LLC and/or ARK ETF Trust and are not endorsements by ARK of any company or security or recommendations by ARK to buy, sell or hold any security. Holdings are subject to change without notice.Foreside Fund Services, LLC, distributor.© 2024. ARK ETF Trust. No part of this material may be reproduced in any form, or referred to in any other publication, without written permission."
