date,fund,company,ticker,cusip,shares,market value ($),weight (%)
04/11/2025,ARKW,ARK BITCOIN ETF HOLDCO (ARKW),,MM0051EWE,"1,819,035","$144,376,807.95",10.80%
04/11/2025,ARKW,TESLA INC,TSLA,88160R101,"445,870","$112,537,588.00",8.42%
04/11/2025,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"543,809","$92,240,882.58",6.90%
04/11/2025,ARKW,ROBINHOOD MARKETS INC - A,HOOD,770700102,"1,994,043","$80,778,681.93",6.04%
04/11/2025,ARKW,ROKU INC,ROKU,77543R102,"1,344,897","$79,712,045.19",5.96%
04/11/2025,ARKW,ROBLOX CORP -CLASS A,RBLX,771049103,"1,419,487","$79,661,610.44",5.96%
04/11/2025,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"880,492","$78,002,786.28",5.84%
04/11/2025,ARKW,META PLATFORMS INC-CLASS A,META,30303M102,"116,275","$63,519,869.75",4.75%
04/11/2025,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,"611,544","$51,754,968.72",3.87%
04/11/2025,ARKW,BLOCK INC,XYZ,852234103,"803,358","$42,505,671.78",3.18%
04/11/2025,ARKW,GENIUS SPORTS LTD,GENI,G3934V109,"3,882,204","$36,842,115.96",2.76%
04/11/2025,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,"91,287","$33,649,301.07",2.52%
04/11/2025,ARKW,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"812,541","$28,219,548.93",2.11%
04/11/2025,ARKW,AMAZON.COM INC,AMZN,023135106,"142,944","$25,904,311.68",1.94%
04/11/2025,ARKW,GITLAB INC-CL A,GTLB,37637K108,"523,756","$22,511,032.88",1.68%
04/11/2025,ARKW,RUBRIK INC-A,RBRK,781154109,"377,114","$22,004,601.90",1.65%
04/11/2025,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,"39,583","$21,890,190.66",1.64%
04/11/2025,ARKW,ADVANCED MICRO DEVICES,AMD,007903107,"243,150","$21,567,405.00",1.61%
04/11/2025,ARKW,MERCADOLIBRE INC,MELI,58733R102,"11,041","$21,353,183.59",1.60%
04/11/2025,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,"200,581","$21,161,295.50",1.58%
04/11/2025,ARKW,COREWEAVE INC-CL A,CRWV,21873S108,"486,269","$20,520,551.80",1.54%
04/11/2025,ARKW,PAGERDUTY INC,PD,69553P100,"1,284,477","$19,716,721.95",1.48%
04/11/2025,ARKW,TOAST INC-CLASS A,TOST,888787108,"564,297","$18,824,947.92",1.41%
04/11/2025,ARKW,PINTEREST INC- CLASS A,PINS,72352L106,"703,321","$18,448,109.83",1.38%
04/11/2025,ARKW,SALESFORCE INC,CRM,79466L302,"70,092","$17,881,871.04",1.34%
04/11/2025,ARKW,IBOTTA INC-CL A,IBTA,451051106,"353,910","$16,177,226.10",1.21%
04/11/2025,ARKW,QUALCOMM INC,QCOM,747525103,"117,500","$15,792,000.00",1.18%
04/11/2025,ARKW,UNITY SOFTWARE INC,U,91332U101,"796,931","$15,205,443.48",1.14%
04/11/2025,ARKW,TRADE DESK INC/THE -CLASS A,TTD,88339J105,"295,030","$14,536,128.10",1.09%
04/11/2025,ARKW,NVIDIA CORP,NVDA,67066G104,"129,616","$13,942,793.12",1.04%
04/11/2025,ARKW,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,"90,686","$13,705,375.18",1.03%
04/11/2025,ARKW,REDDIT INC-CL A,RDDT,75734B100,"124,902","$12,741,253.02",0.95%
