date,fund,company,ticker,cusip,shares,market value ($),weight (%)
03/25/2025,PRNT,BICO GROUP AB,BICO,BKMFJ94,"1,142,503","$4,258,471.21",5.22%
03/25/2025,PRNT,STRATASYS LTD,SSYS,M85548101,"389,592","$4,032,277.20",4.95%
03/25/2025,PRNT,TITOMIC LTD,TTT,BYZ03N6,"23,836,946","$3,819,375.31",4.68%
03/25/2025,PRNT,SIEMENS AG-REG,SIE,5727973,"15,365","$3,740,213.61",4.59%
03/25/2025,PRNT,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,"88,304","$3,658,070.11",4.49%
03/25/2025,PRNT,NIKON CORP,7731,6642321,"330,569","$3,502,194.72",4.30%
03/25/2025,PRNT,PROTO LABS INC,PRLB,743713109,"90,670","$3,356,603.40",4.12%
03/25/2025,PRNT,STRAUMANN HOLDING AG-REG,STMN SE,BQ7ZV06,"26,031","$3,339,348.17",4.10%
03/25/2025,PRNT,ALTAIR ENGINEERING INC - A,ALTR,021369103,"28,399","$3,171,884.31",3.89%
03/25/2025,PRNT,3D SYSTEMS CORP,DDD,88554D205,"1,136,335","$3,147,647.95",3.86%
03/25/2025,PRNT,NANO DIMENSION LTD - ADR,NNDM,63008G203,"1,498,336","$3,116,538.88",3.82%
03/25/2025,PRNT,HP INC,HPQ,40434L105,"106,999","$3,102,971.00",3.81%
03/25/2025,PRNT,FARO TECHNOLOGIES INC,FARO,311642102,"101,838","$2,960,430.66",3.63%
03/25/2025,PRNT,RENISHAW PLC,RSW,0732358,"85,062","$2,940,070.16",3.61%
03/25/2025,PRNT,ANSYS INC,ANSS,03662Q105,"8,994","$2,929,615.62",3.59%
03/25/2025,PRNT,AUTODESK INC,ADSK,052769106,"10,757","$2,895,676.83",3.55%
03/25/2025,PRNT,XOMETRY INC-A,XMTR,98423F109,"104,775","$2,851,975.50",3.50%
03/25/2025,PRNT,PTC INC,PTC,69370C100,"16,725","$2,700,251.25",3.31%
03/25/2025,PRNT,DENTSPLY SIRONA INC,XRAY UW,24906P109,"167,469","$2,646,010.20",3.25%
03/25/2025,PRNT,MATERIALISE NV-ADR,MTLS,57667T100,"458,914","$2,377,174.52",2.92%
03/25/2025,PRNT,HEXAGON AB-B SHS,HEXAB S,BNZFHC1,"138,747","$1,563,696.93",1.92%
03/25/2025,PRNT,OC OERLIKON CORP AG-REG,OERL,4612757,"313,275","$1,460,673.06",1.79%
03/25/2025,PRNT,GENERAL ELECTRIC,GE,369604301,"6,577","$1,382,682.71",1.70%
03/25/2025,PRNT,AMETEK INC,AME,031100100,"7,697","$1,376,377.54",1.69%
03/25/2025,PRNT,MICHELIN (CGDE),ML,BPBPJ01,"35,879","$1,316,952.11",1.62%
03/25/2025,PRNT,LINCOLN ELECTRIC HOLDINGS,LECO,533900106,"6,180","$1,220,797.20",1.50%
03/25/2025,PRNT,MELROSE INDUSTRIES PLC,MRO,BNGDN82,"176,772","$1,190,007.00",1.46%
03/25/2025,PRNT,L3HARRIS TECHNOLOGIES INC,LHX,502431109,"5,492","$1,157,219.32",1.42%
03/25/2025,PRNT,KAISER ALUMINUM CORP,KALU,483007704,"16,129","$1,086,933.31",1.33%
03/25/2025,PRNT,UNITED PARCEL SERVICE-CL B,UPS,911312106,"9,232","$1,069,065.60",1.31%
03/25/2025,PRNT,ALIGN TECHNOLOGY INC,ALGN,016255101,"6,233","$1,061,916.21",1.30%
03/25/2025,PRNT,MOOG INC-CLASS A,MOG/A,615394202,"5,813","$1,052,966.82",1.29%
03/25/2025,PRNT,VOESTALPINE AG,VOE,4943402,"4,796","$128,480.48",0.16%
03/25/2025,PRNT,SANDVIK AB,SAND,B1VQ252,"4,976","$113,146.37",0.14%
03/25/2025,PRNT,EVONIK INDUSTRIES AG,EVK,B5ZQ9D3,"5,204","$117,262.16",0.14%
03/25/2025,PRNT,ARKEMA,AKE,B0Z5YZ2,"1,214","$99,139.51",0.12%
03/25/2025,PRNT,TORAY INDUSTRIES INC,3402,6897143,"14,505","$101,581.70",0.12%
03/25/2025,PRNT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"92,505","$92,505.22",0.11%
03/25/2025,PRNT,3M CO,MMM,88579Y101,605,"$92,655.75",0.11%
03/25/2025,PRNT,SGL CARBON SE,SGL,4818351,"21,648","$88,743.35",0.11%
03/25/2025,PRNT,ATI INC,ATI,01741R102,"1,608","$87,137.52",0.11%
03/25/2025,PRNT,HENKEL AG & CO KGAA VOR-PREF,HEN3,5076705,"1,060","$83,769.48",0.10%
03/25/2025,PRNT,JABIL INC,JBL,466313103,518,"$77,684.46",0.10%
03/25/2025,PRNT,EASTMAN KODAK CO,KODK,277461406,"12,588","$81,696.12",0.10%
03/25/2025,PRNT,EASTMAN CHEMICAL CO,EMN,277432100,920,"$82,882.80",0.10%
03/25/2025,PRNT,DUPONT DE NEMOURS INC,DD,26614N102,"1,086","$83,698.02",0.10%
03/25/2025,PRNT,CARPENTER TECHNOLOGY,CRS,144285103,415,"$81,020.45",0.10%
03/25/2025,PRNT,AVIENT CORP,AVNT,05368V106,"2,010","$79,817.10",0.10%
03/25/2025,PRNT,MATERION CORP,MTRN,576690101,840,"$73,609.20",0.09%
03/25/2025,PRNT,HEXCEL CORP,HXL,428291108,"1,320","$75,966.00",0.09%
03/25/2025,PRNT,5N PLUS INC,VNP,B2B3VZ3,"15,906","$61,332.90",0.08%
03/25/2025,PRNT,MARKFORGED HOLDING CORP,,57064N201,1,$3.28,0.00%
