date,fund,company,ticker,cusip,shares,market value ($),weight (%)
04/25/2025,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,"885,135","$84,194,041.20",9.45%
04/25/2025,ARKF,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"380,605","$77,593,941.35",8.71%
04/25/2025,ARKF,ROBINHOOD MARKETS INC - A,HOOD,770700102,"1,247,039","$60,044,927.85",6.74%
04/25/2025,ARKF,ARK BITCOIN ETF HOLDCO (ARKF),,MM005473T,"636,601","$59,471,265.42",6.68%
04/25/2025,ARKF,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"424,746","$45,779,123.88",5.14%
04/25/2025,ARKF,TOAST INC-CLASS A,TOST,888787108,"1,263,658","$45,428,505.10",5.10%
04/25/2025,ARKF,ROBLOX CORP -CLASS A,RBLX,771049103,"607,412","$39,900,894.28",4.48%
04/25/2025,ARKF,BLOCK INC,XYZ,852234103,"672,568","$38,672,660.00",4.34%
04/25/2025,ARKF,MERCADOLIBRE INC,MELI,58733R102,"15,192","$33,495,473.52",3.76%
04/25/2025,ARKF,ADYEN NV,ADYEN,BZ1HM42,"19,081","$31,897,608.58",3.58%
04/25/2025,ARKF,ROKU INC,ROKU,77543R102,"395,590","$25,574,893.50",2.87%
04/25/2025,ARKF,SOFI TECHNOLOGIES INC,SOFI,83406F102,"1,834,686","$22,584,984.66",2.54%
04/25/2025,ARKF,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"653,046","$22,321,112.28",2.51%
04/25/2025,ARKF,META PLATFORMS INC-CLASS A,META,30303M102,"40,799","$21,751,986.85",2.44%
04/25/2025,ARKF,SEA LTD-ADR,SE,81141R100,"160,534","$19,943,138.82",2.24%
04/25/2025,ARKF,PINTEREST INC- CLASS A,PINS,72352L106,"753,796","$19,410,247.00",2.18%
04/25/2025,ARKF,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,"31,430","$19,045,008.50",2.14%
04/25/2025,ARKF,AMAZON.COM INC,AMZN,023135106,"100,524","$18,751,746.96",2.11%
04/25/2025,ARKF,LY CORP,4689,6084848,"4,280,396","$15,882,202.32",1.78%
04/25/2025,ARKF,IBOTTA INC-CL A,IBTA,451051106,"321,431","$15,579,760.57",1.75%
04/25/2025,ARKF,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,"35,435","$14,671,861.75",1.65%
04/25/2025,ARKF,NU HOLDINGS LTD/CAYMAN ISL-A,NU UN,G6683N103,"1,224,758","$14,390,906.50",1.62%
04/25/2025,ARKF,GLOBAL-E ONLINE LTD,GLBE,M5216V106,"395,455","$14,366,880.15",1.61%
04/25/2025,ARKF,DISCOVERY LTD,DSY,6177878,"1,219,749","$12,925,008.35",1.45%
04/25/2025,ARKF,FUTU HOLDINGS LTD-ADR,FUTU,36118L106,"119,199","$11,191,594.11",1.26%
04/25/2025,ARKF,JSC KASPI.KZ ADR,KSPI,BJY21K1,"125,968","$11,133,051.84",1.25%
04/25/2025,ARKF,PAYPAL HOLDINGS INC,PYPL,70450Y103,"159,134","$10,307,109.18",1.16%
04/25/2025,ARKF,AIRBNB INC-CLASS A,ABNB,009066101,"83,449","$10,156,577.79",1.14%
04/25/2025,ARKF,REDDIT INC-CL A,RDDT,75734B100,"87,998","$9,877,775.50",1.11%
04/25/2025,ARKF,INTUIT INC,INTU,461202103,"15,767","$9,694,024.61",1.09%
04/25/2025,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,"58,107","$9,470,278.86",1.06%
04/25/2025,ARKF,NVIDIA CORP,NVDA,67066G104,"84,950","$9,041,228.50",1.02%
04/25/2025,ARKF,ZILLOW GROUP INC - C,Z,98954M200,"130,370","$8,582,257.10",0.96%
04/25/2025,ARKF,AVIDXCHANGE HOLDINGS INC,AVDX,05368X102,"907,167","$7,139,404.29",0.80%
04/25/2025,ARKF,BILL HOLDINGS INC,BILL,090043100,"155,017","$6,947,861.94",0.78%
04/25/2025,ARKF,3IQ ETHER STAKING ETF,ETHQ/U,BQ84B35,"823,735","$5,712,085.25",0.64%
04/25/2025,ARKF,3IQ SOLANA STAKING ETF,SOLQ/U,BTRDQ40,"482,680","$5,718,949.08",0.64%
04/25/2025,ARKF,UIPATH INC - CLASS A,PATH,90364P105,"144,093","$1,631,132.76",0.18%
04/25/2025,ARKF,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"337,369","$337,369.45",0.04%
