date,fund,company,ticker,cusip,shares,market value ($),weight (%)
03/28/2025,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,"929,310","$95,272,861.20",10.26%
03/28/2025,ARKF,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"361,993","$68,264,639.94",7.35%
03/28/2025,ARKF,ROBINHOOD MARKETS INC - A,HOOD,770700102,"1,309,269","$57,594,743.31",6.20%
03/28/2025,ARKF,ARK BITCOIN ETF HOLDCO (ARKF),,MM005473T,"636,601","$55,282,430.84",5.96%
03/28/2025,ARKF,TOAST INC-CLASS A,TOST,888787108,"1,326,725","$46,926,263.25",5.06%
03/28/2025,ARKF,BLOCK INC,XYZ,852234103,"706,140","$40,242,918.60",4.34%
03/28/2025,ARKF,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"445,946","$40,175,275.14",4.33%
03/28/2025,ARKF,ROBLOX CORP -CLASS A,RBLX,771049103,"637,729","$37,944,875.50",4.09%
03/28/2025,ARKF,MERCADOLIBRE INC,MELI,58733R102,"15,942","$33,412,040.70",3.60%
03/28/2025,ARKF,ROKU INC,ROKU,77543R102,"415,340","$31,586,607.00",3.40%
03/28/2025,ARKF,ADYEN NV,ADYEN,BZ1HM42,"20,031","$31,352,493.52",3.38%
03/28/2025,ARKF,META PLATFORMS INC-CLASS A,META,30303M102,"42,835","$25,811,514.30",2.78%
03/28/2025,ARKF,PINTEREST INC- CLASS A,PINS,72352L106,"791,421","$25,515,413.04",2.75%
03/28/2025,ARKF,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"685,646","$25,396,327.84",2.74%
03/28/2025,ARKF,SOFI TECHNOLOGIES INC,SOFI,83406F102,"1,926,247","$23,500,213.40",2.53%
03/28/2025,ARKF,SEA LTD-ADR,SE,81141R100,"168,551","$22,513,357.07",2.43%
03/28/2025,ARKF,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,"33,005","$19,150,161.10",2.06%
03/28/2025,ARKF,DISCOVERY LTD,DSY,6177878,"1,702,208","$18,801,480.88",2.03%
03/28/2025,ARKF,UIPATH INC - CLASS A,PATH,90364P105,"1,602,806","$17,422,501.22",1.88%
03/28/2025,ARKF,LY CORP,4689,6084848,"4,494,296","$15,777,499.43",1.70%
03/28/2025,ARKF,GLOBAL-E ONLINE LTD,GLBE,M5216V106,"415,190","$15,245,776.80",1.64%
03/28/2025,ARKF,IBOTTA INC-CL A,IBTA,451051106,"337,481","$14,984,156.40",1.61%
03/28/2025,ARKF,AMAZON.COM INC,AMZN,023135106,"73,811","$14,862,582.96",1.60%
03/28/2025,ARKF,NU HOLDINGS LTD/CAYMAN ISL-A,NU UN,G6683N103,"1,285,888","$14,260,497.92",1.54%
03/28/2025,ARKF,FUTU HOLDINGS LTD-ADR,FUTU,36118L106,"125,149","$13,726,342.32",1.48%
03/28/2025,ARKF,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,"37,210","$13,639,697.60",1.47%
03/28/2025,ARKF,INTUIT INC,INTU,461202103,"20,911","$12,866,538.30",1.39%
03/28/2025,ARKF,JSC KASPI.KZ ADR,KSPI,BJY21K1,"132,257","$12,274,772.17",1.32%
03/28/2025,ARKF,PAYPAL HOLDINGS INC,PYPL,70450Y103,"167,084","$11,505,404.24",1.24%
03/28/2025,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,"61,007","$10,759,194.52",1.16%
03/28/2025,ARKF,REDDIT INC-CL A,RDDT,75734B100,"92,398","$10,185,031.54",1.10%
03/28/2025,ARKF,NVIDIA CORP,NVDA,67066G104,"89,200","$9,939,556.00",1.07%
03/28/2025,ARKF,ZILLOW GROUP INC - C,Z,98954M200,"136,875","$9,629,156.25",1.04%
03/28/2025,ARKF,AIRBNB INC-CLASS A,ABNB,009066101,"72,193","$9,071,050.45",0.98%
03/28/2025,ARKF,AVIDXCHANGE HOLDINGS INC,AVDX,05368X102,"952,453","$8,143,473.15",0.88%
03/28/2025,ARKF,BILL HOLDINGS INC,BILL,090043100,"162,762","$7,887,446.52",0.85%
03/28/2025,ARKF,3IQ ETHER STAKING ETF,ETHQ/U,BQ84B35,"864,849","$6,823,063.59",0.74%
03/28/2025,ARKF,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"549,559","$549,558.69",0.06%
"Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ARK ETF before investing. This and other information are contained in the ARK ETFs' prospectuses, which may be obtained on ark-funds.com. The prospectus should be read carefully before investing. An investment in an ARK ETF is subject to risks and you can lose money on your investment in an ARK ETF. There can be no assurance that the ARK ETFs will achieve their investment objectives. The ARK ETFs’ portfolios are more volatile than broad market averages. The ARK ETFs also have specific risks, which are described in the ARK ETFs' prospectuses.Shares of the ARK ETFs may be bought or sold throughout the day at their market price on the exchange on which they are listed. The market price of an ARK ETF's shares may be at, above or below the ARK ETF’s net asset value (""NAV"") and will fluctuate with changes in the NAV as well as supply and demand in the market for the shares. The market price of ARK ETF shares may differ significantly from their NAV during periods of market volatility. Shares of the ARK ETFs may only be redeemed directly with the ARK ETFs at NAV by Authorized Participants, in very large creation units. There can be no guarantee that an active trading market for ARK ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ARK ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Not FDIC Insured – No Bank Guarantee – May Lose ValueAll statements made regarding companies, securities or other financial information are strictly beliefs and points of view held by ARK Investment Management LLC and/or ARK ETF Trust and are not endorsements by ARK of any company or security or recommendations by ARK to buy, sell or hold any security. Holdings are subject to change without notice.Foreside Fund Services, LLC, distributor.© 2024. ARK ETF Trust. No part of this material may be reproduced in any form, or referred to in any other publication, without written permission."
