date,fund,company,ticker,cusip,shares,market value ($),weight (%)
04/17/2025,ARKK,TESLA INC,TSLA,88160R101,"2,329,176","$562,612,462.80",11.55%
04/17/2025,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"2,140,334","$368,586,918.14",7.57%
04/17/2025,ARKK,ROKU INC,ROKU,77543R102,"6,279,908","$366,746,627.20",7.53%
04/17/2025,ARKK,ROBLOX CORP -CLASS A,RBLX,771049103,"6,044,470","$357,167,732.30",7.33%
04/17/2025,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"3,844,977","$356,467,817.67",7.32%
04/17/2025,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,"7,412,379","$280,039,678.62",5.75%
04/17/2025,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,"5,480,278","$222,828,103.48",4.58%
04/17/2025,ARKK,TEMPUS AI INC,TEM,88023B103,"5,421,971","$221,541,735.06",4.55%
04/17/2025,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,"2,607,090","$218,891,276.40",4.49%
04/17/2025,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,"3,616,076","$139,038,122.20",2.85%
04/17/2025,ARKK,BLOCK INC,XYZ,852234103,"2,329,187","$125,193,801.25",2.57%
04/17/2025,ARKK,ARCHER AVIATION INC-A,ACHR,03945R102,"17,318,813","$122,097,631.65",2.51%
04/17/2025,ARKK,META PLATFORMS INC-CLASS A,META,30303M102,"225,341","$113,191,037.71",2.32%
04/17/2025,ARKK,AMAZON.COM INC,AMZN,023135106,"629,218","$109,691,573.94",2.25%
04/17/2025,ARKK,PAGERDUTY INC,PD,69553P100,"7,179,053","$108,331,909.77",2.22%
04/17/2025,ARKK,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,"20,164,143","$107,273,240.76",2.20%
04/17/2025,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,"6,163,039","$102,429,708.18",2.10%
04/17/2025,ARKK,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"3,031,874","$101,931,603.88",2.09%
04/17/2025,ARKK,TERADYNE INC,TER,880770102,"1,181,513","$84,076,465.08",1.73%
04/17/2025,ARKK,VERACYTE INC,VCYT,92337F107,"2,533,680","$79,886,930.40",1.64%
04/17/2025,ARKK,GITLAB INC-CL A,GTLB,37637K108,"1,856,271","$78,278,948.07",1.61%
04/17/2025,ARKK,ADVANCED MICRO DEVICES,AMD,007903107,"833,016","$73,546,982.64",1.51%
04/17/2025,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,"9,050,834","$72,678,197.02",1.49%
04/17/2025,ARKK,NATERA INC,NTRA,632307104,"480,815","$72,203,988.55",1.48%
04/17/2025,ARKK,PINTEREST INC- CLASS A,PINS,72352L106,"2,397,067","$61,005,355.15",1.25%
04/17/2025,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,"8,723,570","$59,843,690.20",1.23%
04/17/2025,ARKK,DEERE & CO,DE,244199105,"126,872","$57,399,430.24",1.18%
04/17/2025,ARKK,TRADE DESK INC/THE -CLASS A,TTD,88339J105,"1,143,671","$55,410,859.95",1.14%
04/17/2025,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,"2,103,080","$50,116,396.40",1.03%
04/17/2025,ARKK,ILLUMINA INC,ILMN,452327109,"682,587","$50,190,622.11",1.03%
04/17/2025,ARKK,NVIDIA CORP,NVDA,67066G104,"342,393","$35,776,644.57",0.73%
04/17/2025,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,"22,228,591","$26,674,309.20",0.55%
04/17/2025,ARKK,CERUS CORP,CERS,157085101,"11,776,130","$15,308,969.00",0.31%
04/17/2025,ARKK,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"12,624,312","$12,624,312.23",0.26%
04/17/2025,ARKK,SOFI TECHNOLOGIES INC,SOFI,83406F102,"117,781","$1,255,545.46",0.03%
04/17/2025,ARKK,PRIME MEDICINE INC,PRME,74168J101,71,$88.04,0.00%
"Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ARK ETF before investing. This and other information are contained in the ARK ETFs' prospectuses, which may be obtained on ark-funds.com. The prospectus should be read carefully before investing. An investment in an ARK ETF is subject to risks and you can lose money on your investment in an ARK ETF. There can be no assurance that the ARK ETFs will achieve their investment objectives. The ARK ETFs’ portfolios are more volatile than broad market averages. The ARK ETFs also have specific risks, which are described in the ARK ETFs' prospectuses.Shares of the ARK ETFs may be bought or sold throughout the day at their market price on the exchange on which they are listed. The market price of an ARK ETF's shares may be at, above or below the ARK ETF’s net asset value (""NAV"") and will fluctuate with changes in the NAV as well as supply and demand in the market for the shares. The market price of ARK ETF shares may differ significantly from their NAV during periods of market volatility. Shares of the ARK ETFs may only be redeemed directly with the ARK ETFs at NAV by Authorized Participants, in very large creation units. There can be no guarantee that an active trading market for ARK ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ARK ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Not FDIC Insured – No Bank Guarantee – May Lose ValueAll statements made regarding companies, securities or other financial information are strictly beliefs and points of view held by ARK Investment Management LLC and/or ARK ETF Trust and are not endorsements by ARK of any company or security or recommendations by ARK to buy, sell or hold any security. Holdings are subject to change without notice.Foreside Fund Services, LLC, distributor.© 2024. ARK ETF Trust. No part of this material may be reproduced in any form, or referred to in any other publication, without written permission."
