date,fund,company,ticker,cusip,shares,market value ($),weight (%)
03/31/2025,ARKK,TESLA INC,TSLA,88160R101,"2,249,404","$592,830,424.20",11.67%
03/31/2025,ARKK,ROKU INC,ROKU,77543R102,"6,064,857","$439,641,483.93",8.65%
03/31/2025,ARKK,ROBLOX CORP -CLASS A,RBLX,771049103,"6,077,034","$358,970,398.38",7.07%
03/31/2025,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"1,989,216","$345,984,338.88",6.81%
03/31/2025,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"3,713,286","$318,785,603.10",6.27%
03/31/2025,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,"7,020,690","$259,695,323.10",5.11%
03/31/2025,ARKK,TEMPUS AI INC,TEM,88023B103,"5,144,318","$246,052,729.94",4.84%
03/31/2025,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,"2,517,876","$243,428,251.68",4.79%
03/31/2025,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,"5,801,605","$243,203,281.60",4.79%
03/31/2025,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,"3,492,213","$140,945,716.68",2.77%
03/31/2025,ARKK,PAGERDUTY INC,PD,69553P100,"6,933,186","$130,135,901.22",2.56%
03/31/2025,ARKK,META PLATFORMS INC-CLASS A,META,30303M102,"217,645","$125,524,577.30",2.47%
03/31/2025,ARKK,BLOCK INC,XYZ,852234103,"2,249,415","$124,460,131.95",2.45%
03/31/2025,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,"5,555,050","$123,377,660.50",2.43%
03/31/2025,ARKK,ARCHER AVIATION INC-A,ACHR,03945R102,"16,725,854","$121,429,700.04",2.39%
03/31/2025,ARKK,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,"19,036,474","$110,601,913.94",2.18%
03/31/2025,ARKK,AMAZON.COM INC,AMZN,023135106,"574,674","$110,751,173.28",2.18%
03/31/2025,ARKK,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"2,928,052","$103,330,955.08",2.03%
03/31/2025,ARKK,TERADYNE INC,TER,880770102,"1,141,035","$94,454,877.30",1.86%
03/31/2025,ARKK,ADVANCED MICRO DEVICES,AMD,007903107,"804,512","$83,041,728.64",1.63%
03/31/2025,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,"8,556,929","$78,381,469.64",1.54%
03/31/2025,ARKK,VERACYTE INC,VCYT,92337F107,"2,446,976","$73,702,917.12",1.45%
03/31/2025,ARKK,PINTEREST INC- CLASS A,PINS,72352L106,"2,315,004","$72,853,175.88",1.43%
03/31/2025,ARKK,GITLAB INC-CL A,GTLB,37637K108,"1,485,796","$71,882,810.48",1.41%
03/31/2025,ARKK,NATERA INC,NTRA,632307104,"464,411","$66,847,319.34",1.32%
03/31/2025,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,"8,261,536","$66,670,595.52",1.31%
03/31/2025,ARKK,TRADE DESK INC/THE -CLASS A,TTD,88339J105,"1,104,525","$61,687,721.25",1.21%
03/31/2025,ARKK,DEERE & CO,DE,244199105,"122,506","$56,804,807.14",1.12%
03/31/2025,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,"2,031,078","$55,935,888.12",1.10%
03/31/2025,ARKK,UIPATH INC - CLASS A,PATH,90364P105,"5,083,528","$54,342,914.32",1.07%
03/31/2025,ARKK,ILLUMINA INC,ILMN,452327109,"659,203","$52,736,240.00",1.04%
03/31/2025,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,"21,467,376","$24,472,808.64",0.48%
03/31/2025,ARKK,CERUS CORP,CERS,157085101,"11,372,867","$16,149,471.14",0.32%
03/31/2025,ARKK,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"8,004,083","$8,004,082.70",0.16%
03/31/2025,ARKK,PRIME MEDICINE INC,PRME,74168J101,"1,026,367","$2,042,470.33",0.04%
03/31/2025,ARKK,SOFI TECHNOLOGIES INC,SOFI,83406F102,"113,701","$1,347,356.85",0.03%
"Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ARK ETF before investing. This and other information are contained in the ARK ETFs' prospectuses, which may be obtained on ark-funds.com. The prospectus should be read carefully before investing. An investment in an ARK ETF is subject to risks and you can lose money on your investment in an ARK ETF. There can be no assurance that the ARK ETFs will achieve their investment objectives. The ARK ETFs’ portfolios are more volatile than broad market averages. The ARK ETFs also have specific risks, which are described in the ARK ETFs' prospectuses.Shares of the ARK ETFs may be bought or sold throughout the day at their market price on the exchange on which they are listed. The market price of an ARK ETF's shares may be at, above or below the ARK ETF’s net asset value (""NAV"") and will fluctuate with changes in the NAV as well as supply and demand in the market for the shares. The market price of ARK ETF shares may differ significantly from their NAV during periods of market volatility. Shares of the ARK ETFs may only be redeemed directly with the ARK ETFs at NAV by Authorized Participants, in very large creation units. There can be no guarantee that an active trading market for ARK ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ARK ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Not FDIC Insured – No Bank Guarantee – May Lose ValueAll statements made regarding companies, securities or other financial information are strictly beliefs and points of view held by ARK Investment Management LLC and/or ARK ETF Trust and are not endorsements by ARK of any company or security or recommendations by ARK to buy, sell or hold any security. Holdings are subject to change without notice.Foreside Fund Services, LLC, distributor.© 2024. ARK ETF Trust. No part of this material may be reproduced in any form, or referred to in any other publication, without written permission."
