date,fund,company,ticker,cusip,shares,market value ($),weight (%)
04/11/2025,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,"904,572","$76,553,928.36",9.39%
04/11/2025,ARKF,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"388,965","$65,976,243.30",8.09%
04/11/2025,ARKF,ROBINHOOD MARKETS INC - A,HOOD,770700102,"1,274,418","$51,626,673.18",6.33%
04/11/2025,ARKF,ARK BITCOIN ETF HOLDCO (ARKF),,MM005473T,"636,601","$50,527,021.37",6.20%
04/11/2025,ARKF,TOAST INC-CLASS A,TOST,888787108,"1,291,406","$43,081,304.16",5.28%
04/11/2025,ARKF,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"434,074","$38,454,615.66",4.72%
04/11/2025,ARKF,BLOCK INC,XYZ,852234103,"687,341","$36,367,212.31",4.46%
04/11/2025,ARKF,ROBLOX CORP -CLASS A,RBLX,771049103,"620,750","$34,836,490.00",4.27%
04/11/2025,ARKF,MERCADOLIBRE INC,MELI,58733R102,"15,522","$30,019,392.78",3.68%
04/11/2025,ARKF,ADYEN NV,ADYEN,BZ1HM42,"19,499","$29,548,306.57",3.62%
04/11/2025,ARKF,ROKU INC,ROKU,77543R102,"404,280","$23,961,675.60",2.94%
04/11/2025,ARKF,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"667,390","$23,178,454.70",2.84%
04/11/2025,ARKF,META PLATFORMS INC-CLASS A,META,30303M102,"41,695","$22,777,561.55",2.79%
04/11/2025,ARKF,PINTEREST INC- CLASS A,PINS,72352L106,"770,351","$20,206,306.73",2.48%
04/11/2025,ARKF,SOFI TECHNOLOGIES INC,SOFI,83406F102,"1,874,974","$19,724,726.48",2.42%
04/11/2025,ARKF,SEA LTD-ADR,SE,81141R100,"164,060","$18,912,836.80",2.32%
04/11/2025,ARKF,AMAZON.COM INC,AMZN,023135106,"102,735","$18,617,636.70",2.28%
04/11/2025,ARKF,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,"32,123","$17,764,661.46",2.18%
04/11/2025,ARKF,LY CORP,4689,6084848,"4,374,496","$15,511,968.26",1.90%
04/11/2025,ARKF,IBOTTA INC-CL A,IBTA,451051106,"328,493","$15,015,415.03",1.84%
04/11/2025,ARKF,GLOBAL-E ONLINE LTD,GLBE,M5216V106,"404,139","$13,821,553.80",1.69%
04/11/2025,ARKF,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,"36,216","$13,349,579.76",1.64%
04/11/2025,ARKF,NU HOLDINGS LTD/CAYMAN ISL-A,NU UN,G6683N103,"1,251,653","$12,829,443.25",1.57%
04/11/2025,ARKF,DISCOVERY LTD,DSY,6177878,"1,246,534","$11,786,926.91",1.45%
04/11/2025,ARKF,INTUIT INC,INTU,461202103,"20,351","$11,752,091.97",1.44%
04/11/2025,ARKF,JSC KASPI.KZ ADR,KSPI,BJY21K1,"128,729","$10,733,424.02",1.32%
04/11/2025,ARKF,PAYPAL HOLDINGS INC,PYPL,70450Y103,"162,632","$9,848,993.92",1.21%
04/11/2025,ARKF,NVIDIA CORP,NVDA,67066G104,"86,820","$9,339,227.40",1.15%
04/11/2025,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,"59,383","$9,215,647.77",1.13%
04/11/2025,ARKF,REDDIT INC-CL A,RDDT,75734B100,"89,934","$9,174,167.34",1.12%
04/11/2025,ARKF,FUTU HOLDINGS LTD-ADR,FUTU,36118L106,"121,817","$9,113,129.77",1.12%
04/11/2025,ARKF,ZILLOW GROUP INC - C,Z,98954M200,"133,230","$8,234,946.30",1.01%
04/11/2025,ARKF,AIRBNB INC-CLASS A,ABNB,009066101,"70,275","$8,005,025.25",0.98%
04/11/2025,ARKF,UIPATH INC - CLASS A,PATH,90364P105,"668,192","$7,102,880.96",0.87%
04/11/2025,ARKF,AVIDXCHANGE HOLDINGS INC,AVDX,05368X102,"927,094","$7,008,830.64",0.86%
04/11/2025,ARKF,BILL HOLDINGS INC,BILL,090043100,"158,422","$6,550,749.70",0.80%
04/11/2025,ARKF,3IQ ETHER STAKING ETF,ETHQ/U,BQ84B35,"841,825","$4,999,747.76",0.61%
04/11/2025,ARKF,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0,$0.00,0.00%
"Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ARK ETF before investing. This and other information are contained in the ARK ETFs' prospectuses, which may be obtained on ark-funds.com. The prospectus should be read carefully before investing. An investment in an ARK ETF is subject to risks and you can lose money on your investment in an ARK ETF. There can be no assurance that the ARK ETFs will achieve their investment objectives. The ARK ETFs’ portfolios are more volatile than broad market averages. The ARK ETFs also have specific risks, which are described in the ARK ETFs' prospectuses.Shares of the ARK ETFs may be bought or sold throughout the day at their market price on the exchange on which they are listed. The market price of an ARK ETF's shares may be at, above or below the ARK ETF’s net asset value (""NAV"") and will fluctuate with changes in the NAV as well as supply and demand in the market for the shares. The market price of ARK ETF shares may differ significantly from their NAV during periods of market volatility. Shares of the ARK ETFs may only be redeemed directly with the ARK ETFs at NAV by Authorized Participants, in very large creation units. There can be no guarantee that an active trading market for ARK ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ARK ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Not FDIC Insured – No Bank Guarantee – May Lose ValueAll statements made regarding companies, securities or other financial information are strictly beliefs and points of view held by ARK Investment Management LLC and/or ARK ETF Trust and are not endorsements by ARK of any company or security or recommendations by ARK to buy, sell or hold any security. Holdings are subject to change without notice.Foreside Fund Services, LLC, distributor.© 2024. ARK ETF Trust. No part of this material may be reproduced in any form, or referred to in any other publication, without written permission."
