date,fund,company,ticker,cusip,shares,market value ($),weight (%)
03/21/2025,ARKK,TESLA INC,TSLA,88160R101,"2,316,240","$547,234,862.40",10.16%
03/21/2025,ARKK,ROKU INC,ROKU,77543R102,"6,245,029","$461,008,040.78",8.56%
03/21/2025,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"2,048,302","$389,955,734.76",7.24%
03/21/2025,ARKK,ROBLOX CORP -CLASS A,RBLX,771049103,"6,508,673","$376,982,340.16",7.00%
03/21/2025,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"3,823,584","$334,143,005.76",6.21%
03/21/2025,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,"7,229,258","$297,628,551.86",5.53%
03/21/2025,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,"2,592,726","$264,069,143.10",4.90%
03/21/2025,ARKK,TEMPUS AI INC,TEM,88023B103,"5,297,148","$254,474,989.92",4.73%
03/21/2025,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,"5,717,100","$249,608,586.00",4.64%
03/21/2025,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,"3,595,959","$151,210,075.95",2.81%
03/21/2025,ARKK,ARCHER AVIATION INC-A,ACHR,03945R102,"17,222,720","$142,604,121.60",2.65%
03/21/2025,ARKK,BLOCK INC,XYZ,852234103,"2,316,251","$141,291,311.00",2.62%
03/21/2025,ARKK,PAGERDUTY INC,PD,69553P100,"7,139,150","$134,572,977.50",2.50%
03/21/2025,ARKK,META PLATFORMS INC-CLASS A,META,30303M102,"224,093","$131,318,498.00",2.44%
03/21/2025,ARKK,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,"19,392,073","$125,660,633.04",2.33%
03/21/2025,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,"5,371,333","$122,842,385.71",2.28%
03/21/2025,ARKK,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"3,015,038","$115,898,060.72",2.15%
03/21/2025,ARKK,AMAZON.COM INC,AMZN,023135106,"591,724","$115,356,593.80",2.14%
03/21/2025,ARKK,TERADYNE INC,TER,880770102,"1,174,949","$103,607,002.82",1.92%
03/21/2025,ARKK,ADVANCED MICRO DEVICES,AMD,007903107,"828,382","$88,752,847.48",1.65%
03/21/2025,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,"8,811,123","$87,670,673.85",1.63%
03/21/2025,ARKK,VERACYTE INC,VCYT,92337F107,"2,519,702","$80,227,311.68",1.49%
03/21/2025,ARKK,GITLAB INC-CL A,GTLB,37637K108,"1,529,940","$78,271,730.40",1.45%
03/21/2025,ARKK,PINTEREST INC- CLASS A,PINS,72352L106,"2,383,782","$74,898,430.44",1.39%
03/21/2025,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,"8,506,972","$74,010,656.40",1.37%
03/21/2025,ARKK,NATERA INC,NTRA,632307104,"478,237","$71,558,602.31",1.33%
03/21/2025,ARKK,ILLUMINA INC,ILMN,452327109,"783,879","$66,465,100.41",1.23%
03/21/2025,ARKK,TRADE DESK INC/THE -CLASS A,TTD,88339J105,"1,137,323","$63,519,489.55",1.18%
03/21/2025,ARKK,DEERE & CO,DE,244199105,"126,164","$60,182,751.28",1.12%
03/21/2025,ARKK,UIPATH INC - CLASS A,PATH,90364P105,"5,341,505","$57,795,084.10",1.07%
03/21/2025,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,"1,930,765","$53,192,575.75",0.99%
03/21/2025,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,"20,505,869","$25,837,394.94",0.48%
03/21/2025,ARKK,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"20,821,473","$20,821,473.19",0.39%
03/21/2025,ARKK,CERUS CORP,CERS,157085101,"11,710,883","$17,917,650.99",0.33%
03/21/2025,ARKK,PRIME MEDICINE INC,PRME,74168J101,"1,056,965","$2,124,499.65",0.04%
03/21/2025,ARKK,SOFI TECHNOLOGIES INC,SOFI,83406F102,"117,047","$1,479,474.08",0.03%
"Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ARK ETF before investing. This and other information are contained in the ARK ETFs' prospectuses, which may be obtained on ark-funds.com. The prospectus should be read carefully before investing. An investment in an ARK ETF is subject to risks and you can lose money on your investment in an ARK ETF. There can be no assurance that the ARK ETFs will achieve their investment objectives. The ARK ETFs’ portfolios are more volatile than broad market averages. The ARK ETFs also have specific risks, which are described in the ARK ETFs' prospectuses.Shares of the ARK ETFs may be bought or sold throughout the day at their market price on the exchange on which they are listed. The market price of an ARK ETF's shares may be at, above or below the ARK ETF’s net asset value (""NAV"") and will fluctuate with changes in the NAV as well as supply and demand in the market for the shares. The market price of ARK ETF shares may differ significantly from their NAV during periods of market volatility. Shares of the ARK ETFs may only be redeemed directly with the ARK ETFs at NAV by Authorized Participants, in very large creation units. There can be no guarantee that an active trading market for ARK ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ARK ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Not FDIC Insured – No Bank Guarantee – May Lose ValueAll statements made regarding companies, securities or other financial information are strictly beliefs and points of view held by ARK Investment Management LLC and/or ARK ETF Trust and are not endorsements by ARK of any company or security or recommendations by ARK to buy, sell or hold any security. Holdings are subject to change without notice.Foreside Fund Services, LLC, distributor.© 2024. ARK ETF Trust. No part of this material may be reproduced in any form, or referred to in any other publication, without written permission."
