date,fund,company,ticker,cusip,shares,market value ($),weight (%)
03/25/2025,ARKX,KRATOS DEFENSE & SECURITY,KTOS,50077B207,"844,772","$27,480,433.16",9.87%
03/25/2025,ARKX,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,"898,171","$25,319,440.49",9.09%
03/25/2025,ARKX,ARCHER AVIATION INC-A,ACHR,03945R102,"2,156,220","$19,255,044.60",6.91%
03/25/2025,ARKX,ROCKET LAB USA INC,RKLB,773122106,"943,821","$19,074,622.41",6.85%
03/25/2025,ARKX,TRIMBLE INC,TRMB,896239100,"249,365","$17,971,735.55",6.45%
03/25/2025,ARKX,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"165,456","$16,007,868.00",5.75%
03/25/2025,ARKX,TERADYNE INC,TER,880770102,"172,961","$15,739,451.00",5.65%
03/25/2025,ARKX,AEROVIRONMENT INC,AVAV,008073108,"91,222","$11,739,359.18",4.21%
03/25/2025,ARKX,AMAZON.COM INC,AMZN,023135106,"55,601","$11,301,459.26",4.06%
03/25/2025,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,502431109,"51,226","$10,793,830.46",3.88%
03/25/2025,ARKX,KOMATSU LTD,6301,6496584,"349,188","$10,609,269.98",3.81%
03/25/2025,ARKX,THALES SA,HO,4162791,"31,340","$8,283,983.80",2.97%
03/25/2025,ARKX,DEERE & CO,DE,244199105,"16,872","$8,097,885.12",2.91%
03/25/2025,ARKX,BLADE AIR MOBILITY INC,BLDE,092667104,"2,381,223","$7,405,603.53",2.66%
03/25/2025,ARKX,JOBY AVIATION INC,JOBY,G65163100,"1,068,533","$7,233,968.41",2.60%
03/25/2025,ARKX,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,"153,171","$6,345,242.07",2.28%
03/25/2025,ARKX,GARMIN LTD,GRMN UN,B3Z5T14,"26,717","$5,729,994.99",2.06%
03/25/2025,ARKX,ALPHABET INC-CL C,GOOG,02079K107,"31,341","$5,325,776.13",1.91%
03/25/2025,ARKX,ELBIT SYSTEMS LTD,ESLT,M3760D101,"13,469","$5,326,989.50",1.91%
03/25/2025,ARKX,ADVANCED MICRO DEVICES,AMD,007903107,"45,089","$5,133,382.65",1.84%
03/25/2025,ARKX,THE 3D PRINTING ETF,PRNT,00214Q500,"202,954","$4,203,238.23",1.51%
03/25/2025,ARKX,HEICO CORP,HEI,422806109,"15,093","$4,043,112.84",1.45%
03/25/2025,ARKX,JD LOGISTICS INC,2618,BNMBPD9,"2,396,925","$4,026,631.74",1.45%
03/25/2025,ARKX,TELEDYNE TECHNOLOGIES INC,TDY,879360105,"7,444","$3,779,318.80",1.36%
03/25/2025,ARKX,HONEYWELL INTERNATIONAL INC,HON,438516106,"16,144","$3,420,106.40",1.23%
03/25/2025,ARKX,AIRBUS SE,AIR,4012250,"18,386","$3,321,098.48",1.19%
03/25/2025,ARKX,SYNOPSYS INC,SNPS,871607107,"5,700","$2,609,289.00",0.94%
03/25/2025,ARKX,LOCKHEED MARTIN CORP,LMT,539830109,"5,721","$2,488,520.58",0.89%
03/25/2025,ARKX,UIPATH INC - CLASS A,PATH,90364P105,"199,803","$2,239,791.63",0.80%
03/25/2025,ARKX,INTUITIVE MACHINES INC,LUNR,46125A100,"196,025","$1,807,350.50",0.65%
03/25/2025,ARKX,3D SYSTEMS CORP,DDD,88554D205,"597,403","$1,654,806.31",0.59%
03/25/2025,ARKX,ANSYS INC,ANSS,03662Q105,"1,705","$555,369.65",0.20%
03/25/2025,ARKX,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"220,500","$220,500.19",0.08%
"Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ARK ETF before investing. This and other information are contained in the ARK ETFs' prospectuses, which may be obtained on ark-funds.com. The prospectus should be read carefully before investing. An investment in an ARK ETF is subject to risks and you can lose money on your investment in an ARK ETF. There can be no assurance that the ARK ETFs will achieve their investment objectives. The ARK ETFs’ portfolios are more volatile than broad market averages. The ARK ETFs also have specific risks, which are described in the ARK ETFs' prospectuses.Shares of the ARK ETFs may be bought or sold throughout the day at their market price on the exchange on which they are listed. The market price of an ARK ETF's shares may be at, above or below the ARK ETF’s net asset value (""NAV"") and will fluctuate with changes in the NAV as well as supply and demand in the market for the shares. The market price of ARK ETF shares may differ significantly from their NAV during periods of market volatility. Shares of the ARK ETFs may only be redeemed directly with the ARK ETFs at NAV by Authorized Participants, in very large creation units. There can be no guarantee that an active trading market for ARK ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ARK ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Not FDIC Insured – No Bank Guarantee – May Lose ValueAll statements made regarding companies, securities or other financial information are strictly beliefs and points of view held by ARK Investment Management LLC and/or ARK ETF Trust and are not endorsements by ARK of any company or security or recommendations by ARK to buy, sell or hold any security. Holdings are subject to change without notice.Foreside Fund Services, LLC, distributor.© 2024. ARK ETF Trust. No part of this material may be reproduced in any form, or referred to in any other publication, without written permission."
