date,fund,company,ticker,cusip,shares,market value ($),weight (%)
03/31/2025,PRNT,STRATASYS LTD,SSYS,M85548101,"374,010","$3,783,111.15",5.10%
03/31/2025,PRNT,TITOMIC LTD,TTT,BYZ03N6,"22,883,531","$3,596,727.45",4.85%
03/31/2025,PRNT,BICO GROUP AB,BICO,BKMFJ94,"1,096,807","$3,497,992.30",4.72%
03/31/2025,PRNT,SIEMENS AG-REG,SIE,5727973,"14,753","$3,449,873.34",4.65%
03/31/2025,PRNT,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,"84,773","$3,320,436.44",4.48%
03/31/2025,PRNT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"3,311,210","$3,311,209.55",4.46%
03/31/2025,PRNT,NIKON CORP,7731,6642321,"317,369","$3,281,666.03",4.42%
03/31/2025,PRNT,PROTO LABS INC,PRLB,743713109,"87,046","$3,112,764.96",4.20%
03/31/2025,PRNT,STRAUMANN HOLDING AG-REG,STMN SE,BQ7ZV06,"24,990","$3,095,579.38",4.17%
03/31/2025,PRNT,HP INC,HPQ,40434L105,"102,721","$2,865,915.90",3.86%
03/31/2025,PRNT,ANSYS INC,ANSS,03662Q105,"8,637","$2,736,978.93",3.69%
03/31/2025,PRNT,RENISHAW PLC,RSW,0732358,"81,660","$2,716,714.56",3.66%
03/31/2025,PRNT,AUTODESK INC,ADSK,052769106,"10,328","$2,702,114.64",3.64%
03/31/2025,PRNT,FARO TECHNOLOGIES INC,FARO,311642102,"97,767","$2,687,126.00",3.62%
03/31/2025,PRNT,XOMETRY INC-A,XMTR,98423F109,"100,587","$2,604,197.43",3.51%
03/31/2025,PRNT,PTC INC,PTC,69370C100,"16,059","$2,485,933.20",3.35%
03/31/2025,PRNT,NANO DIMENSION LTD - ADR,NNDM,63008G203,"1,438,408","$2,416,525.44",3.26%
03/31/2025,PRNT,DENTSPLY SIRONA INC,XRAY UW,24906P109,"160,773","$2,400,340.89",3.24%
03/31/2025,PRNT,3D SYSTEMS CORP,DDD,88554D205,"1,090,885","$2,312,676.20",3.12%
03/31/2025,PRNT,MATERIALISE NV-ADR,MTLS,57667T100,"440,560","$2,185,177.60",2.95%
03/31/2025,PRNT,HEXAGON AB-B SHS,HEXAB S,BNZFHC1,"133,200","$1,452,870.58",1.96%
03/31/2025,PRNT,OC OERLIKON CORP AG-REG,OERL,4612757,"300,747","$1,441,729.70",1.94%
03/31/2025,PRNT,GENERAL ELECTRIC,GE,369604301,"6,316","$1,262,442.08",1.70%
03/31/2025,PRNT,AMETEK INC,AME,031100100,"7,391","$1,259,352.49",1.70%
03/31/2025,PRNT,MICHELIN (CGDE),ML,BPBPJ01,"34,445","$1,230,578.11",1.66%
03/31/2025,PRNT,LINCOLN ELECTRIC HOLDINGS,LECO,533900106,"5,934","$1,124,730.36",1.52%
03/31/2025,PRNT,L3HARRIS TECHNOLOGIES INC,LHX,502431109,"5,273","$1,095,465.75",1.48%
03/31/2025,PRNT,MELROSE INDUSTRIES PLC,MRO,BNGDN82,"169,704","$1,082,371.02",1.46%
03/31/2025,PRNT,UNITED PARCEL SERVICE-CL B,UPS,911312106,"8,863","$971,916.58",1.31%
03/31/2025,PRNT,KAISER ALUMINUM CORP,KALU,483007704,"15,484","$961,401.56",1.30%
03/31/2025,PRNT,MOOG INC-CLASS A,MOG/A,615394202,"5,582","$958,708.50",1.29%
03/31/2025,PRNT,ALIGN TECHNOLOGY INC,ALGN,016255101,"5,984","$952,712.64",1.28%
03/31/2025,PRNT,VOESTALPINE AG,VOE,4943402,"4,607","$116,309.67",0.16%
03/31/2025,PRNT,EVONIK INDUSTRIES AG,EVK,B5ZQ9D3,"4,997","$109,223.16",0.15%
03/31/2025,PRNT,SANDVIK AB,SAND,B1VQ252,"4,778","$104,231.47",0.14%
03/31/2025,PRNT,TORAY INDUSTRIES INC,3402,6897143,"14,205","$98,933.69",0.13%
03/31/2025,PRNT,ARKEMA,AKE,B0Z5YZ2,"1,166","$90,634.19",0.12%
03/31/2025,PRNT,ATI INC,ATI,01741R102,"1,545","$78,733.20",0.11%
03/31/2025,PRNT,3M CO,MMM,88579Y101,581,"$84,152.04",0.11%
03/31/2025,PRNT,HENKEL AG & CO KGAA VOR-PREF,HEN3,5076705,"1,018","$81,290.12",0.11%
03/31/2025,PRNT,SGL CARBON SE,SGL,4818351,"20,784","$81,902.96",0.11%
03/31/2025,PRNT,CARPENTER TECHNOLOGY,CRS,144285103,400,"$72,512.00",0.10%
03/31/2025,PRNT,DUPONT DE NEMOURS INC,DD,26614N102,"1,044","$77,287.32",0.10%
03/31/2025,PRNT,EASTMAN CHEMICAL CO,EMN,277432100,884,"$76,952.20",0.10%
03/31/2025,PRNT,EASTMAN KODAK CO,KODK,277461406,"12,087","$74,939.40",0.10%
03/31/2025,PRNT,HEXCEL CORP,HXL,428291108,"1,269","$71,457.39",0.10%
03/31/2025,PRNT,AVIENT CORP,AVNT,05368V106,"1,932","$71,310.12",0.10%
03/31/2025,PRNT,JABIL INC,JBL,466313103,500,"$67,995.00",0.09%
03/31/2025,PRNT,MATERION CORP,MTRN,576690101,807,"$67,311.87",0.09%
03/31/2025,PRNT,5N PLUS INC,VNP,B2B3VZ3,"15,306","$56,225.69",0.08%
03/31/2025,PRNT,MARKFORGED HOLDING CORP,,57064N201,1,$4.57,0.00%
